year,week,winner,winner_corr,day,day_corr,date,date_corr,time,time_corr,pts_win,pts_loss,home_team_name,home_team_name_corr,away_team_name,away_team_name_corr,game_attendance,home_team_previous_year_performance,away_team_previous_year_performance,home_team_current_year_performance,away_team_current_year_performance,home_team_current_sos,away_team_current_sos,stadium_name,stadium_name_corr,stadium_max_capacity,stadium_regular_capacity,home_city,home_city_corr,weather_condition,weather_condition_corr
2017,3,New England Patriots,0.022078595515729698,Sun,-0.08153542351275765,2017-09-24,0.0053937827172656815,13:00:00,0.018938556585168822,36,33,Patriots,-0.018609466599414023,Texans,-0.042579257497052284,65878.0,9.3,-2.6,8.9,-6.4,-1.2,-0.3,Gillette,-0.018609466599414023,71000,65878,"Foxborough,MA",-0.018609466599414023,Clear,0.05220517572910981
2017,3,Philadelphia Eagles,0.06539442943088376,Sun,-0.08153542351275765,2017-09-24,0.0053937827172656815,13:00:00,0.018938556585168822,27,24,Eagles,0.043561202157815386,Giants,0.04790755217067995,69596.0,3.8,2.1,9.4,-7.6,-0.7,1.3,Lincoln Financial Field,0.043561202157815386,75000,69879,"Philadelphia,PA",0.043561202157815386,Clear,0.05220517572910981
2017,3,Atlanta Falcons,0.033197612769428654,Sun,-0.08153542351275765,2017-09-24,0.0053937827172656815,13:00:00,0.018938556585168822,30,26,Lions,-0.0696694003182879,Falcons,0.001030954868313654,63240.0,-1.4,8.5,2.7,4.3,0.6,1.9,Ford Field,-0.0696694003182879,70000,65000,"Detroit,MI",-0.0696694003182879,Clear,0.05220517572910981
2017,3,Buffalo Bills,0.029258590798860923,Sun,-0.08153542351275765,2017-09-24,0.0053937827172656815,13:00:00,0.018938556585168822,26,16,Bills,-0.00262326658335236,Broncos,-0.09188475738513562,68865.0,-0.3,4.0,-4.0,-6.7,-0.5,-0.9,Highmark,-0.00262326658335236,80290,74000,"Orchard_Park,NY",-0.00262326658335236,Clear,0.05220517572910981
2017,3,Minnesota Vikings,0.013811930353968061,Sun,-0.08153542351275765,2017-09-24,0.0053937827172656815,13:00:00,0.018938556585168822,34,17,Vikings,-0.003678779619763062,Buccaneers,0.03242601508000635,66390.0,0.9,-0.2,9.1,-1.3,1.0,1.7,US Bank,-0.003678779619763062,73000,66655,"Minneapolis,MN",-0.003678779619763062,Cloudy,-0.05709445713883091
2017,3,Chicago Bears,-0.05708755010394186,Sun,-0.08153542351275765,2017-09-24,0.0053937827172656815,13:00:00,0.018938556585168822,23,17,Bears,-0.09118651581407372,Steelers,-0.03477294390151369,61172.0,-7.5,4.7,-1.3,5.0,2.2,-1.1,Soldier Field,-0.09118651581407372,66944,62500,"Chicago,IL",-0.09118651581407372,Cloudy,-0.05709445713883091
2017,3,New Orleans Saints,0.07958403846067784,Sun,-0.08153542351275765,2017-09-24,0.0053937827172656815,13:00:00,0.018938556585168822,34,13,Panthers,0.10080953952838628,Saints,0.03270381741713108,73775.0,-1.0,1.5,4.3,9.2,2.1,1.5,Bank of America,0.10080953952838628,74867,74867,"Charlotte,NC",0.10080953952838628,Cloudy,-0.05709445713883091
2017,3,Tennessee Titans,-0.025676492977594063,Sun,-0.08153542351275765,2017-09-24,0.0053937827172656815,16:05:00,-0.30315790509802293,33,27,Titans,-0.0346547590441549,Seahawks,0.055495155857772926,69127.0,-1.0,2.1,-3.5,1.9,-2.1,-0.2,Nissan,-0.0346547590441549,69143,69143,"Nashville,TN",-0.0346547590441549,Cloudy,-0.05709445713883091
2017,3,Green Bay Packers,0.15691144722134212,Sun,-0.08153542351275765,2017-09-24,0.0053937827172656815,16:25:00,0.05359421020612981,27,24,Packers,0.17776010768863618,Bengals,-0.01404984046464929,78323.0,2.8,1.0,-1.9,-5.0,2.1,-1.3,Lambeau Field,0.17776010768863618,81441,79704,"Green_Bay,WI",0.17776010768863618,Clear,0.05220517572910981
2017,3,Kansas City Chiefs,0.027750628132671016,Sun,-0.08153542351275765,2017-09-24,0.0053937827172656815,16:25:00,0.05359421020612981,24,10,Chargers,-0.6042582258808916,Chiefs,-0.02683689865220794,25386.0,0.1,5.6,3.6,3.4,-1.5,-1.3,Dignity Health Sports Park,-0.6042582258808916,27000,27000,"Inglewood,CA",-0.40483475510523304,Clear,0.05220517572910981
